iter	Passed	Remaining
0	14	28184
1	30	30344
2	47	31948
3	64	32038
4	79	31749
5	94	31383
6	108	31008
7	123	30725
8	137	30350
9	150	30020
10	165	29915
11	179	29790
12	193	29580
13	209	29654
14	224	29709
15	240	29827
16	255	29754
17	271	29937
18	286	29866
19	302	29907
20	316	29856
21	331	29817
22	345	29710
23	360	29680
24	391	30897
25	422	32056
26	437	31980
27	452	31896
28	467	31793
29	481	31623
30	497	31606
31	512	31526
32	527	31414
33	540	31276
34	577	32446
35	591	32269
36	649	34484
37	665	34353
38	680	34234
39	697	34154
40	712	34056
41	728	33961
42	744	33863
43	759	33755
44	774	33658
45	795	33809
46	828	34416
47	843	34299
48	859	34235
49	884	34509
50	900	34427
51	935	35041
52	950	34916
53	965	34800
54	980	34668
55	995	34557
56	1012	34518
57	1048	35099
58	1062	34960
59	1078	34880
60	1095	34827
61	1111	34731
62	1143	35165
63	1157	35027
64	1172	34903
65	1187	34811
66	1202	34690
67	1217	34581
68	1231	34451
69	1246	34362
70	1261	34269
71	1283	34380
72	1303	34395
73	1318	34312
74	1333	34229
75	1348	34129
76	1363	34053
77	1378	33958
78	1393	33877
79	1408	33798
80	1422	33711
81	1437	33622
82	1452	33551
83	1468	33501
84	1489	33547
85	1506	33518
86	1520	33443
87	1534	33330
88	1548	33254
89	1563	33173
90	1578	33112
91	1594	33061
92	1608	32984
93	1624	32939
94	1638	32855
95	1653	32790
96	1668	32740
97	1686	32738
98	1702	32689
99	1717	32636
100	1732	32566
101	1747	32523
102	1763	32485
103	1779	32433
104	1794	32383
105	1809	32340
106	1824	32282
107	1839	32221
108	1853	32154
109	1868	32106
110	1885	32089
111	1902	32073
112	1919	32056
113	1958	32407
114	1973	32356
115	1989	32312
116	2004	32264
117	2019	32216
118	2035	32182
119	2056	32212
120	2072	32182
121	2088	32141
122	2102	32087
123	2132	32260
124	2147	32217
125	2162	32165
126	2177	32116
127	2224	32535
128	2238	32471
129	2254	32431
130	2270	32396
131	2287	32365
132	2303	32334
133	2318	32290
134	2333	32237
135	2348	32188
136	2362	32133
137	2385	32192
138	2400	32142
139	2416	32108
140	2432	32070
141	2447	32024
142	2463	31993
143	2478	31951
144	2494	31910
145	2511	31894
146	2527	31865
147	2543	31832
148	2572	31952
149	2588	31924
150	2602	31873
151	2617	31827
152	2632	31780
153	2648	31753
154	2663	31706
155	2690	31797
156	2704	31744
157	2718	31693
158	2732	31639
159	2748	31604
160	2762	31557
161	2778	31523
162	2793	31485
163	2808	31439
164	2822	31389
165	2837	31350
166	2853	31314
167	2868	31284
168	2884	31256
169	2902	31241
170	2918	31216
171	2934	31188
172	2950	31161
173	2967	31137
174	2982	31102
175	3007	31164
176	3022	31132
177	3043	31154
178	3059	31119
179	3074	31083
180	3089	31048
181	3105	31017
182	3126	31040
183	3142	31019
184	3159	30994
185	3175	30965
186	3190	30935
187	3206	30905
188	3222	30878
189	3237	30845
190	3252	30803
191	3268	30780
192	3285	30761
193	3301	30730
194	3319	30726
195	3351	30848
196	3367	30821
197	3382	30783
198	3397	30744
199	3412	30708
200	3426	30665
201	3442	30637
202	3458	30615
203	3473	30579
204	3489	30551
205	3504	30523
206	3518	30476
207	3533	30439
208	3548	30407
209	3564	30382
210	3579	30352
211	3597	30338
212	3613	30314
213	3629	30289
214	3646	30271
215	3664	30267
216	3681	30246
217	3697	30225
218	3714	30207
219	3730	30187
220	3746	30155
221	3761	30129
222	3775	30085
223	3789	30046
224	3804	30010
225	3818	29973
226	3833	29939
227	3847	29904
228	3862	29872
229	3878	29850
230	3895	29834
231	3911	29811
232	3929	29797
233	3947	29788
234	3963	29769
235	3979	29748
236	3994	29716
237	4009	29687
238	4023	29648
239	4038	29614
240	4052	29575
241	4067	29547
242	4091	29582
243	4106	29555
244	4124	29545
245	4139	29514
246	4155	29493
247	4173	29481
248	4189	29461
249	4206	29446
250	4223	29430
251	4238	29403
252	4254	29378
253	4297	29542
254	4312	29512
255	4328	29484
256	4343	29459
257	4359	29438
258	4374	29405
259	4389	29374
260	4403	29339
261	4417	29304
262	4434	29290
263	4451	29274
264	4468	29256
265	4485	29237
266	4501	29218
267	4518	29202
268	4535	29188
269	4560	29218
270	4574	29185
271	4591	29171
272	4606	29143
273	4621	29112
274	4634	29073
275	4649	29044
276	4662	29004
277	4676	28969
278	4691	28938
279	4706	28910
280	4722	28891
281	4739	28873
282	4756	28858
283	4772	28836
284	4788	28814
285	4804	28792
286	4820	28769
287	4834	28736
288	4848	28707
289	4891	28844
290	4906	28816
291	4920	28784
292	4935	28756
293	4951	28734
294	4968	28714
295	4983	28691
296	5001	28680
297	5017	28657
298	5032	28632
299	5048	28608
300	5066	28596
301	5082	28579
302	5099	28560
303	5116	28544
304	5133	28529
305	5176	28659
306	5192	28635
307	5207	28605
308	5222	28578
309	5236	28549
310	5251	28522
311	5266	28491
312	5280	28462
313	5295	28433
314	5310	28404
315	5324	28375
316	5346	28382
317	5362	28365
318	5379	28349
319	5395	28326
320	5411	28304
321	5426	28279
322	5441	28249
323	5455	28220
324	5470	28192
325	5484	28161
326	5499	28135
327	5514	28111
328	5530	28087
329	5544	28060
330	5562	28048
331	5581	28043
332	5601	28039
333	5614	28006
334	5629	27979
335	5643	27950
336	5660	27930
337	5676	27914
338	5692	27893
339	5709	27874
340	5725	27855
341	5742	27839
342	5757	27812
343	5772	27788
344	5787	27761
345	5802	27736
346	5816	27708
347	5830	27676
348	5844	27650
349	5860	27629
350	5875	27604
351	5889	27575
352	5905	27551
353	5919	27525
354	5935	27501
355	5950	27477
356	5967	27461
357	5984	27449
358	6001	27433
359	6016	27410
360	6032	27386
361	6047	27365
362	6062	27339
363	6077	27315
364	6092	27290
365	6106	27261
366	6120	27235
367	6135	27208
368	6151	27188
369	6180	27226
370	6195	27203
371	6225	27244
372	6242	27229
373	6258	27210
374	6274	27191
375	6290	27169
376	6306	27149
