iter	Accuracy	Logloss
0	0.7569308639	0.6441174842
1	0.7805130565	0.6065534466
2	0.7809731968	0.5783746947
3	0.7828137582	0.5543013271
4	0.7821235477	0.5358506108
5	0.7823536179	0.519717934
6	0.7840791441	0.5074590572
7	0.7891406879	0.4969283611
8	0.7901760037	0.4870788014
9	0.7923616703	0.4784825567
10	0.7925917405	0.4704692246
11	0.7933969861	0.4647390397
12	0.794662372	0.4590395392
13	0.7952375475	0.4541260717
14	0.7952375475	0.4493896494
15	0.7963878983	0.4453272313
16	0.7970781088	0.4413680503
17	0.7977683193	0.4374484764
18	0.7982284597	0.4346026461
19	0.7976532843	0.4323267441
20	0.7993788105	0.4302480468
21	0.7997239158	0.4273155773
22	0.8008742667	0.4245955136
23	0.8016795123	0.4212450665
24	0.8008742667	0.4194426869
25	0.8030599333	0.4163586338
26	0.8042102841	0.4143178715
27	0.8044403543	0.4126469829
28	0.8047854596	0.4116471228
29	0.8046704245	0.4104811294
30	0.803980214	0.4092828101
31	0.8040952491	0.4084125913
32	0.8051305648	0.4075996738
33	0.8072011964	0.4044980513
34	0.8078914069	0.4037308223
35	0.8090417577	0.4020764511
36	0.8095018981	0.4012037221
37	0.8097319683	0.4006399972
38	0.8103071437	0.3996901355
39	0.8100770735	0.3986882289
40	0.8118025998	0.3977674098
41	0.8123777752	0.3972216975
42	0.813413091	0.3956766772
43	0.8126078454	0.3941688646
44	0.8129529506	0.3934973896
45	0.8128379156	0.3927374065
46	0.8127228805	0.3922900515
47	0.8130679857	0.3916294715
48	0.8151386173	0.3905673648
49	0.814793512	0.3900727884
50	0.8149085471	0.3893171019
51	0.8149085471	0.3887657416
52	0.8152536524	0.3880260297
53	0.8151386173	0.3868072781
54	0.8155987576	0.3865279655
55	0.8155987576	0.38605947
56	0.8162889681	0.3856512094
57	0.8164040032	0.3851106139
58	0.8165190383	0.3847475391
59	0.8164040032	0.3835957216
60	0.8169791786	0.3833485511
61	0.8170942137	0.3827384642
62	0.8175543541	0.3823994361
63	0.8177844242	0.3820106879
64	0.8177844242	0.3817329248
65	0.8176693892	0.3813842338
66	0.8173242839	0.3808595568
67	0.8175543541	0.3789659753
68	0.8176693892	0.3784115033
69	0.8178994593	0.3781800576
70	0.8175543541	0.3779470592
71	0.8175543541	0.3774116996
72	0.8175543541	0.3770710119
73	0.8184746348	0.3759164107
74	0.8182445646	0.3756901744
75	0.8184746348	0.3749269084
76	0.8187047049	0.3746045897
77	0.8206603014	0.3734462042
78	0.8205452663	0.3731800365
79	0.8210054066	0.3728074398
80	0.8212354768	0.3725030146
81	0.8216956172	0.3722596426
82	0.8216956172	0.3719061888
83	0.8219256873	0.3717282532
84	0.8220407224	0.3706848312
85	0.8227309329	0.3703456233
86	0.8230760382	0.3699722394
87	0.8231910733	0.3693708877
88	0.8233061084	0.3689678458
89	0.8234211434	0.368063432
90	0.8238812838	0.3675216539
91	0.8246865294	0.3662920873
92	0.8251466697	0.3660530459
93	0.8262970206	0.3655082074
94	0.8266421258	0.3651484777
95	0.826872196	0.3641844627
96	0.8267571609	0.363450143
97	0.8266421258	0.3633084319
98	0.828252617	0.3625707334
99	0.828252617	0.3623370629
100	0.8288277925	0.3620870541
101	0.8288277925	0.3619575553
102	0.8287127574	0.3615407991
103	0.8291728977	0.3613109668
104	0.8289428276	0.360479503
105	0.8290578626	0.3603095398
106	0.828252617	0.3600789958
107	0.8283676521	0.3599716961
108	0.8287127574	0.3595538522
109	0.8288277925	0.3589880393
110	0.8287127574	0.3587635425
111	0.8289428276	0.358645524
112	0.8304382837	0.3581630252
113	0.8305533188	0.3578450222
114	0.8306683538	0.3577401476
115	0.8306683538	0.3576194578
116	0.8304382837	0.3574570665
117	0.8305533188	0.3571668198
118	0.8306683538	0.3568867977
119	0.8310134591	0.356486461
120	0.8315886345	0.3560797993
121	0.8315886345	0.355844826
122	0.8320487749	0.3554282759
123	0.8318187047	0.3552522561
124	0.8317036696	0.3551447718
125	0.83216381	0.3549204232
126	0.83216381	0.354376429
127	0.8326239503	0.3539235815
128	0.8328540205	0.3538155371
129	0.8329690556	0.3531850565
130	0.8333141608	0.3528333525
131	0.833544231	0.3524781932
132	0.8338893362	0.3520715551
133	0.8337743012	0.35157841
134	0.8337743012	0.351471715
135	0.8337743012	0.3512488536
136	0.8340043713	0.3509527638
137	0.8341194064	0.3501929919
138	0.8341194064	0.3500640864
139	0.8352697573	0.349659956
140	0.8351547222	0.349170121
141	0.8348096169	0.3486227053
142	0.8350396871	0.3482477173
143	0.8354998274	0.3476833404
144	0.8358449327	0.3473619024
145	0.8358449327	0.3472966453
146	0.8356148625	0.347099702
147	0.8356148625	0.346906831
148	0.8357298976	0.3465865883
149	0.8358449327	0.3463799283
