iter	Passed	Remaining
0	25	3856
1	28	2075
2	30	1482
3	32	1194
4	35	1016
5	37	899
6	40	829
7	43	768
8	46	727
9	49	689
10	52	660
11	54	632
12	57	605
13	60	587
14	63	568
15	65	551
16	68	534
17	70	518
18	73	503
19	75	489
20	77	476
21	80	466
22	82	456
23	85	448
24	88	440
25	90	431
26	93	425
27	95	418
28	98	411
29	101	404
30	103	397
31	106	391
32	108	383
33	110	377
34	113	371
35	115	365
36	117	359
37	120	354
38	122	348
39	125	344
40	127	339
41	129	334
42	132	329
43	135	325
44	137	320
45	140	317
46	142	312
47	145	308
48	147	304
49	149	299
50	152	296
51	155	292
52	157	288
53	160	284
54	162	280
55	164	276
56	166	272
57	169	268
58	171	264
59	173	260
60	176	257
61	178	253
62	181	250
63	183	246
64	186	243
65	188	240
66	191	237
67	194	234
68	196	230
69	199	227
70	201	224
71	203	220
72	206	217
73	208	214
74	210	210
75	213	207
76	215	204
77	218	201
78	220	198
79	222	195
80	225	191
81	227	188
82	229	185
83	231	182
84	234	179
85	236	176
86	239	173
87	242	170
88	244	167
89	247	164
90	249	161
91	251	158
92	254	155
93	256	153
94	259	150
95	261	147
96	264	144
97	266	141
98	268	138
99	270	135
100	273	132
101	275	129
102	278	127
103	281	124
104	284	121
105	286	119
106	289	116
107	291	113
108	294	110
109	297	108
110	299	105
111	302	102
112	304	99
113	307	96
114	309	94
115	311	91
116	314	88
117	316	85
118	319	83
119	321	80
120	323	77
121	326	74
122	329	72
123	331	69
124	334	66
125	337	64
126	340	61
127	342	58
128	344	56
129	347	53
130	349	50
131	352	48
132	354	45
133	356	42
134	359	39
135	361	37
136	363	34
137	366	31
138	368	29
139	371	26
140	374	23
141	376	21
142	379	18
143	381	15
144	384	13
145	386	10
146	389	7
147	391	5
148	394	2
149	396	0
